frame_no,time (ms),pos_pixel_x-green,pos_pixel_y-green,r_x-green,r_y-green,v_x-green,v_y-green,a_x-green,a_y-green,pos_pixel_x-hotpink,pos_pixel_y-hotpink,r_x-hotpink,r_y-hotpink,v_x-hotpink,v_y-hotpink,a_x-hotpink,a_y-hotpink
214,2408,,,,,,,,,892,572,0.610128,0.39124800000000004,0.7962469426333889,0.08658390742937261,9.948092897094972,1.485484110958525
215,2422,,,,,,,,,906,572,0.619704,0.39124800000000004,1.1103048534934536,0.13254219990116844,22.293352598460082,2.5526788409804
216,2429,,,,,,,,,918,574,0.627912,0.392616,1.0953465563831608,0.11928460172518966,15.596719396821218,1.6833448089531677
217,2433,,,,,,,,,932,576,0.637488,0.393984,1.0156511691200565,0.10834352621576421,-10.755620318638343,-0.8599242980287325
218,2439,,,,,,,,,944,578,0.645696,0.39535200000000004,1.14950110454182,0.14678355517556824,-23.94012185076049,-4.843353319046357
219,2450,,,,,,,,,956,578,0.653904,0.39535200000000004,0.8696682277590997,0.08689594671017103,-9.876109515836793,-1.7119943959299124
220,2468,,,,,,,,,970,580,0.6634800000000001,0.39672,0.744833380996238,0.07250182477564235,2.2681611926243685,1.0749425219635969
221,2480,,,,,,,,,982,580,0.6716880000000001,0.39672,0.7998224638311343,0.09172993360717249,7.660012423528758,2.303697620803868
222,2489,,,,,,,,,996,582,0.6812640000000001,0.398088,0.9183168758945036,0.11271016122012552,12.491141940056872,2.3277730839054467
223,2499,,,,,,,,,1008,584,0.6894720000000001,0.39945600000000003,,,,
224,2506,,,,,,,,,,,,,,,,
225,2520,,,,,,,,,,,,,,,,
226,2529,,,,,,,,,,,,,,,,
227,2536,,,,,,,,,,,,,,,,
228,2548,,,,,,,,,,,,,,,,
229,2560,,,,,,,,,,,,,,,,
230,2578,,,,,,,,,,,,,,,,
231,2585,,,,,,,,,,,,,,,,
232,2592,,,,,,,,,,,,,,,,
233,2603,,,,,,,,,,,,,,,,
234,2621,,,,,,,,,,,,,,,,
235,2628,,,,,,,,,,,,,,,,
236,2640,,,,,,,,,,,,,,,,
237,2645,,,,,,,,,,,,,,,,
238,2653,,,,,,,,,,,,,,,,
239,2669,,,,,,,,,,,,,,,,
240,2677,,,,,,,,,,,,,,,,
241,2685,,,,,,,,,,,,,,,,
242,2704,,,,,,,,,,,,,,,,
243,2712,,,,,,,,,,,,,,,,
244,2721,,,,,,,,,,,,,,,,
245,2737,,,,,,,,,,,,,,,,
246,2743,,,,,,,,,,,,,,,,
247,2754,,,,,,,,,,,,,,,,
248,2764,,,,,,,,,,,,,,,,
249,2772,,,,,,,,,,,,,,,,
250,2786,,,,,,,,,,,,,,,,
251,2801,,,,,,,,,,,,,,,,
252,2808,,,,,,,,,,,,,,,,
253,2816,,,,,,,,,,,,,,,,
254,2828,,,,,,,,,,,,,,,,
255,2843,,,,,,,,,,,,,,,,
256,2851,,,,,,,,,,,,,,,,
257,2866,,,,,,,,,,,,,,,,
258,2874,,,,,,,,,,,,,,,,
259,2883,,,,,,,,,,,,,,,,
260,2895,,,,,,,,,,,,,,,,
261,2906,,,,,,,,,,,,,,,,
262,2917,,,,,,,,,,,,,,,,
263,2934,986,14,0.674424,0.009576000000000001,,,,,,,,,,,,
264,2945,992,22,0.678528,0.015048,,,,,,,,,,,,
265,2953,998,32,0.682632,0.021888,,,,,,,,,,,,
266,2961,1004,40,0.686736,0.027360000000000002,,,,,,,,,,,,
267,2974,,,,,,,,,,,,,,,,
268,2983,,,,,,,,,1006,644,0.688104,0.440496,,,,
269,3000,,,,,,,,,1000,646,0.684,0.44186400000000003,-0.41626215092333885,0.06662609449219738,-3.256926420028445,-1.0801353229214974
270,3009,,,,,,,,,990,646,0.67716,0.44186400000000003,-0.44233104084893005,0.06436719608407902,-2.754999978338153,0.07466525976676848
271,3018,,,,,,,,,984,648,0.673056,0.443232,-0.4768480264178066,0.07509412034388069,-3.6182649680441594,0.9674946908361384
272,3032,,,,,,,,,976,648,0.6675840000000001,0.443232,-0.5264021714457539,0.07772797784408475,-1.1629557422728434,0.8307338237324357
273,3042,,,,,,,,,968,650,0.662112,0.44460000000000005,-0.4835520210491521,0.07953028992569744,0.726032714905242,-0.17186935731652841
274,3050,,,,,,,,,960,652,0.65664,0.44596800000000003,-0.49431295032821504,0.07111677904650343,0.9820627187848023,-0.42611469246138717
275,3060,,,,,,,,,952,652,0.6511680000000001,0.44596800000000003,-0.4992612393139601,0.07905075432794685,3.5970898810223253,-1.1231255465630956
276,3077,,,,,,,,,944,654,0.645696,0.447336,-0.4568418775311082,0.05704795706772485,1.5412573205490896,-0.6177767013680792
277,3085,,,,,,,,,936,654,0.640224,0.447336,-0.463479048155374,0.05846646900270715,-2.4680968482435204,0.6732932216528598
278,3100,,,,,,,,,928,656,0.634752,0.44870400000000005,-0.4913127309003186,0.060930692066672225,-3.254438871371647,-0.0840750000163019
279,3111,,,,,,,,,920,656,0.6292800000000001,0.44870400000000005,-0.490408494401458,0.06641270188917477,0.4531382387819447,0.609100131086891
280,3118,,,,,,,,,912,658,0.623808,0.450072,-0.4805324102996484,0.06408625503982283,-0.15920404404945107,-0.44137233272906556
281,3128,,,,,,,,,906,658,0.619704,0.450072,-0.49867981087839164,0.0636979495644031,1.9831738218350499,0.3178552386352405
282,3141,,,,,,,,,898,660,0.614232,0.45144,-0.4649920945569475,0.06226125671821781,2.4934680981991773,-1.003597229779053
283,3152,,,,,,,,,890,660,0.6087600000000001,0.45144,-0.4387436914250661,0.05581700394587265,0.4396854745140269,0.17101894260438796
284,3163,,,,,,,,,882,662,0.603288,0.45280800000000004,-0.44159480954220204,0.0654279620408616,0.3685305035591358,0.5534783903526959
285,3179,,,,,,,,,874,662,0.597816,0.45280800000000004,-0.4514019911676209,0.06575163129208275,-0.7973413250902971,0.6532330985857384
286,3190,,,,,,,,,866,664,0.592344,0.454176,-0.5028803354714892,0.0805738579878269,-5.038414263432592,0.8471016295873428
287,3202,,,,,,,,,858,666,0.5868720000000001,0.455544,-0.5018312853390876,0.06914575434998096,-2.5096325930275523,-0.06618681364485327
288,3212,,,,,,,,,850,666,0.5814,0.455544,-0.5080528124619866,0.06222173566287074,1.642286677859983,-2.36436573144915
289,3217,,,,,,,,,842,668,0.575928,0.45691200000000004,-0.5202903098661136,0.05902964197460794,1.118965385673073,-0.7172273685796172
290,3233,,,,,,,,,834,668,0.5704560000000001,0.45691200000000004,-0.514836573970119,0.031139159053774648,0.8038350187876228,-1.4897127819993592
291,3242,,,,,,,,,828,668,0.5663520000000001,0.45691200000000004,-0.4942702283374066,0.002948769095744534,-0.07841736605404265,-3.6450149970923578
292,3253,,,,,,,,,818,670,0.559512,0.45828,-0.4998344962792782,-0.02927174230684293,-3.019676737146514,-2.4877342614937104
293,3261,,,,,,,,,812,668,0.555408,0.45691200000000004,-0.5037012559349138,-0.029418737681068476,3.3978425007627755,-1.1771575049057041
294,3274,,,,,,,,,804,666,0.549936,0.455544,-0.4528750163575305,-0.024587473406691325,5.802395600175194,2.099503822358067
295,3282,,,,,,,,,796,666,0.5444640000000001,0.455544,-0.4231409282581843,-0.016483169507896214,3.05168001617862,6.262352483900954
296,3296,,,,,,,,,790,666,0.5403600000000001,0.455544,-0.39647707483839995,0.08565075765802369,1.033568032282229,7.935233439340463
297,3311,,,,,,,,,784,668,0.5362560000000001,0.45691200000000004,-0.41187449616138005,0.21132206104125334,-2.448667153256606,9.35370174997361
298,3321,,,,,,,,,776,672,0.530784,0.459648,-0.4166397366145619,0.24800051784765986,-3.5113742638404744,5.880354099918054
299,3331,,,,,,,,,770,678,0.52668,0.46375200000000005,-0.4596728643927386,0.32060718475958067,-3.3029192437947583,5.002766901766872
300,3341,,,,,,,,,762,684,0.521208,0.46785600000000005,-0.48385305077162233,0.3791738637424448,0.8585017481346121,3.038830271829012
301,3357,,,,,,,,,752,690,0.514368,0.47196000000000005,-0.4979703392716101,0.4572945502527815,-1.416801221219182,5.522276289670175
302,3365,,,,,,,,,744,698,0.508896,0.477432,-0.47004475971902004,0.44092861286663043,3.1623975271318607,1.0116469622002677
303,3380,,,,,,,,,736,708,0.503424,0.48427200000000004,-0.4458057901774572,0.46630415981251394,2.220432396154482,0.5898379320491552
304,3386,,,,,,,,,728,716,0.497952,0.489744,-0.45259985249416285,0.5088745562337109,1.2185775320839354,-0.791252906367983
305,3408,,,,,,,,,720,726,0.49248000000000003,0.496584,-0.40246523165306736,0.49392824080738457,1.3891289127209185,0.4946994514599273
